Shape code,month code,TOTAL_SF
13,4,108.43
13,4,92.94
13,4,61.96
13,4,61.96
13,4,61.96
13,4,61.96
13,4,61.96
13,4,46.47
13,4,46.47
13,4,46.47
13,4,46.47
13,4,46.47
13,4,46.47
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,30.98
13,4,15.49
13,4,15.49
13,4,15.49
13,4,15.49
13,4,15.49
13,4,15.49
13,4,15.49
13,4,15.49
16,4,12.91
16,4,12.91
16,4,12.91
16,4,12.91
16,4,12.91
18,4,630.24
18,4,26.26
17,4,464.7
17,4,15.49
17,4,15.49
14,4,106.48
5,4,1.29
10,4,106.5
15,4,43.48
1,4,135.55
1,4,33.89
1,4,30.01
6,4,15.92
6,4,15.92
6,4,15.92
6,4,15.92
6,4,15.92
6,4,15.92
6,4,15.92
6,4,15.92
6,4,15.92
6,4,0.86
6,4,0.86
6,4,0.86
6,4,0.86
13,16,6939.52
13,16,6443.84
13,16,4461.12
13,16,4213.28
13,16,3516.23
13,16,2974.08
13,16,2974.08
13,16,2974.08
13,16,1363.12
13,16,1239.2
13,16,1146.26
13,16,991.36
13,16,991.36
13,16,991.36
13,16,991.36
13,16,991.36
13,16,991.36
13,16,991.36
13,16,991.36
13,16,743.52
13,16,743.52
13,16,495.68
13,16,309.8
13,16,-1982.72
16,16,2259.25
16,16,1510.47
16,16,1058.62
18,16,1024.14
17,16,2447.42
17,16,991.36
17,16,991.36
17,16,991.36
17,16,108.43
17,16,77.45
17,16,30.98
17,16,15.49
9,16,1533.6
9,16,511.2
9,16,511.2
9,16,362.1
9,16,255.6
9,16,255.6
9,16,-607.05
12,16,1115.52
14,16,3310.56
14,16,3281.52
5,16,319.5
5,16,112.96
5,16,76.8
5,16,74.87
5,16,74.55
5,16,74.55
5,16,43.57
5,16,34.21
5,16,31.95
5,16,26.79
5,16,21.3
5,16,21.3
5,16,20.33
5,16,18.4
5,16,14.2
5,16,12.91
5,16,12.91
10,16,1139.55
10,16,702.9
10,16,511.2
10,16,511.2
10,16,308.85
10,16,255.6
10,16,21.3
15,16,695.68
1,16,162.65
1,16,31.95
1,16,24.2
1,16,19.36
1,16,14.52
1,16,11.62
1,16,0.97
1,16,0.97
1,16,0.97
6,16,0.43
6,16,0.43
6,16,0.43
6,16,0.43
3,16,1.37
19,16,464.7
19,16,418.23
7,16,151
7,16,91
7,16,47.5
7,16,20
8,16,77.12
2,16,1
2,16,0.63
2,16,0.38
2,16,0.25
13,5,3934.46
13,5,402.74
13,5,294.31
13,5,232.35
13,5,185.88
13,5,170.39
13,5,154.9
13,5,154.9
13,5,123.92
13,5,123.92
13,5,92.94
13,5,61.96
13,5,46.47
13,5,46.47
13,5,46.47
13,5,46.47
13,5,46.47
13,5,30.98
13,5,30.98
13,5,30.98
13,5,30.98
13,5,15.49
13,5,15.49
13,5,15.49
13,5,15.49
13,5,15.49
13,5,15.49
13,5,15.49
13,5,15.49
13,5,15.49
13,5,15.49
16,5,2788.56
16,5,25.82
16,5,25.82
16,5,25.82
16,5,25.82
18,5,236.34
17,5,263.33
9,5,276.9
9,5,170.4
9,5,31.95
12,5,116.2
5,5,66.16
5,5,24.53
5,5,11.3
5,5,6.78
10,5,415.35
10,5,244.95
10,5,149.1
10,5,74.55
15,5,260.88
1,5,49.38
1,5,24.2
1,5,13.55
6,5,1.29
6,5,1.29
6,5,1.29
6,5,1.29
6,5,1.29
6,5,1.29
6,5,1.29
6,5,1.29
6,5,1.29
3,5,35.69
13,5,30.98
18,5,288.86
5,5,1.29
13,6,2710.75
13,6,1347.63
13,6,542.15
13,6,247.84
13,6,201.37
13,6,139.41
13,6,123.92
13,6,123.92
13,6,108.43
13,6,92.94
13,6,77.45
13,6,61.96
13,6,46.47
13,6,46.47
13,6,30.98
13,6,30.98
13,6,15.49
16,6,2762.74
17,6,2586.83
9,6,2896.8
9,6,1203.45
9,6,95.85
9,6,53.25
12,6,162.68
14,6,1403.6
14,6,193.6
5,6,10.33
5,6,9.04
5,6,3.87
10,6,521.85
10,6,159.75
10,6,149.1
10,6,138.45
10,6,63.9
15,6,43.48
1,6,36.79
1,6,3.87
1,6,0.97
1,6,0.97
6,6,0.43
3,6,46.67
13,7,2509.38
13,7,1982.72
13,7,1130.77
13,7,774.5
13,7,480.19
13,7,464.7
13,7,387.25
13,7,356.27
13,7,294.31
13,7,247.84
13,7,232.35
13,7,201.37
13,7,185.88
13,7,170.39
13,7,154.9
13,7,154.9
13,7,123.92
13,7,92.94
13,7,92.94
13,7,92.94
13,7,92.94
13,7,77.45
13,7,77.45
13,7,61.96
13,7,61.96
13,7,61.96
13,7,61.96
13,7,61.96
13,7,30.98
13,7,30.98
13,7,30.98
13,7,30.98
13,7,15.49
16,7,568.04
16,7,154.92
16,7,154.92
16,7,154.92
16,7,154.92
18,7,223.21
17,7,898.42
17,7,340.78
9,7,394.05
9,7,202.35
9,7,85.2
9,7,10.65
14,7,183.92
5,7,19.36
5,7,10.33
5,7,8.71
5,7,0.32
10,7,244.95
10,7,223.65
10,7,31.95
10,7,31.95
15,7,184.79
1,7,27.11
1,7,19.36
1,7,17.43
6,7,1.72
6,7,1.72
6,7,1.29
6,7,1.29
6,7,1.29
6,7,1.29
6,7,1.29
6,7,1.29
6,7,1.29
6,7,1.29
6,7,1.29
6,7,1.29
6,7,1.29
3,7,45.29
7,7,150
