Shape,Shape code,Color,MMYYYY,AVG,TOTAL_SF
"24""x24""",17,MS01-White,92017,2.19,15.49
"24""x24""",17,MS06-Black,62017,2.19,15.49
"24""x24""",17,CR02-Blue Gray,92016,1.79,15.49
"24""x24""",17,AC02-Light Gray,82017,1.89,15.49
"24""x24""",17,CR03-Brown Blend,92016,1.79,15.49
"2""x2""",1,MA02-Daino Reale,32017,2.7,14.52
"2""x2""",1,NB59-Super Black,92017,0,14.52
"2""x2""",1,TS01-Beige,42017,3.29,14.52
"4""x12""",5,MA02-Daino Reale,92017,5.55,14.2
"4""x12""",5,AE02-Light Gray,82017,5.55,14.2
"4""x12""",5,TM02-Gray,62017,4.93,13.88
"4""x12""",5,MA02-Daino Reale,12017,5.55,13.88
"8""x8""",6,NB18-Bowtie Deco,72017,11.6,13.77
"8""x8""",6,NB21-Eyelet Deco,72017,11.6,13.77
"8""x8""",6,NB23-Cubes Deco,72017,11.6,13.77
"8""x8""",6,NB15-Diamond Deco,72017,11.6,13.77
"8""x8""",6,NB19-Moorish Deco,72017,11.6,13.77
"8""x8""",6,NB20-Squares Deco,72017,11.6,13.77
"8""x8""",6,NB17-Clover Deco,72017,11.6,13.77
"8""x8""",6,NB16-Flower Deco,72017,11.6,13.77
"8""x8""",6,NB22-Scroll Deco,72017,11.6,13.77
"2""x2""",1,MA01-Statuary,102016,3.59,13.55
"8""x48""",16,RW01-Beige,92016,0.95,12.91
"8""x48""",16,RW03-Dark Gray,92016,0.95,12.91
"8""x48""",16,RW02-Light Gray,92016,0.95,12.91
"8""x48""",16,RW04-Warm Brown,92016,0.95,12.91
"8""x48""",16,RW05-Dark Brown,12017,0.95,12.91
"8""x48""",16,RW05-Dark Brown,92016,0.95,12.91
"4""x12""",5,AC04-Flamed Gray,92017,5.86,12.91
"4""x12""",5,NB50-Super White,72017,7.41,12.91
"4""x12""",5,MA03-Frost,62017,8.64,12.91
"4""x12""",5,NB58-Nero,92017,6.79,12.91
"2""x2""",1,TS01-Beige,52017,3.29,12.59
"6""x36""",12,PR01-Bianco,72017,2.49,11.62
"6""x24""",10,DE14-Beige,32017,11.62,11.62
"6""x24""",10,DE13-Gray,32017,11.62,11.62
"2""x2""",1,NB58-Nero,92017,3.99,11.62
"4""x12""",5,MA04-Marfil,72017,8.64,11.3
"4""x12""",5,OR01-Ivory,102016,5.55,11.3
"4""x12""",5,FB01-Ivory,12017,6.17,11.3
"4""x12""",5,AC04-Flamed Gray,72017,5.86,11.3
"12""x12""",9,MA01-Statuary,52017,1.59,10.65
"12""x12""",9,NB54-Ash Gray,122016,2.19,10.65
"12""x12""",9,NB50-Super White,22017,1.15,10.65
"12""x12""",9,NB59-Super Black,22017,1.15,10.65
"4""x12""",5,FB01-Ivory,82017,6.17,10.65
"4""x12""",5,CR02-Blue Gray,62017,5.86,10.65
"4""x12""",5,TS01-Beige,62017,4.93,10.65
"4""x12""",5,OR02-Beige,12017,5.55,10.65
"4""x12""",5,OR01-Ivory,62017,5.55,10.65
"4""x12""",5,MA04-Marfil,122016,5.55,10.33
"4""x12""",5,OR01-Ivory,112016,5.55,10.33
"4""x12""",5,AE03-Light Brown,52017,8.64,10.33
"4""x12""",5,TS02-Light Gray,12017,4.93,10.32
"6""x48""",14,RW04-Warm Brown,22017,1.99,9.68
"4""x12""",5,MS03-Light Gray,52017,6.79,9.68
"4""x12""",5,MS03-Light Gray,42017,6.79,9.68
"4""x12""",5,AE03-Light Brown,12017,8.64,9.68
"3""x6""",3,MA02-Daino Reale,12017,3.79,9.61
"4""x12""",5,TS01-Beige,112016,4.93,9.04
"4""x12""",5,TM02-Gray,32017,4.93,8.71
"4""x12""",5,TM01-Beige,122016,4.93,8.71
"4""x12""",5,OR04-Taupe,22017,8.64,8.39
"4""x12""",5,CR01-Ivory Blend,42017,2.93,8.39
"4""x12""",5,MA06-Bardigio,12017,8.64,6.78
"4""x12""",5,MA03-Frost,102016,5.55,6.78
"1.2""X24""",4,DE12-Silver,32017,15.43,5.84
"4""x12""",5,OR03-Gray,12017,8.64,5.81
"6""x24""",10,DE13-Gray,42017,15.49,5.81
"6""x24""",10,DE14-Beige,42017,15.49,5.81
"2""x2""",1,MS04-Toffee,72017,4.09,5.81
