"Series","Shape","Color","TOTAL_SF"
"Mars Stone","6""x12""","MS03-Light Gray","72"
"NO.12","4""x12""","NB54-Ash Gray","70.68"
"Aegean","6""x12""","AE01-Ivory","70.5"
"NO.12","4""x12""","NB53-Silver Gray","70.35"
"NO.12","6""x24""","NB52-Beige","63.9"
"NO.5","Random Linear","NB01-Ivory","63.49"
"Arcadia","Waterjet Mosaic","AC04-Flamed Gray","63.48"
"Mars Stone","4""x12""","MS04-Toffee","61.97"
"Mars Stone","4""x12""","MS05-Dark Gray","61.32"
"NO.12","Random Linear","NB59-Super Black","60.23"
"NO.9","6""x12""","NB12-Dark Gray","58.5"
"NO.9","Random Linear","NB10-Ivory","56.98"
"NO.9","4""x12""","NB14-Black","54.22"
"Mars Stone","3""x6""","MS04-Toffee","53.52"
"NO.12","6""x12""","NB57-Tobacco","51"
"NO.9","6""x12""","NB13-Toffee","51"
"NO.12","6""x12""","NB58-Nero","47.5"
"Preeminent","6""x12""","PR01-Bianco","46.5"
"Mars Stone","24""x24""","MS06-Black","46.47"
"Mars Stone","24""x24""","MS04-Toffee","46.47"
"Mars Stone","Random Linear","MS04-Toffee","44.55"
"NO.12","4""x12""","NB56-Grigio","37.76"
"Orvieto","4""x12""","OR04-Taupe","37.76"
"Mars Stone","2""x2""","MS01-White","33.9"
"NO.12","Random Linear","NB56-Grigio","32.56"
"Fabric Folio","6""x12""","FB01-Ivory","32"
"NO.12","12""x12""","NB55-Blue","31.95"
"NO.12","4""x12""","NB55-Blue","31.94"
"NO.5","24""x48""","NB04-Dark Gray","30.98"
"NO.12","Random Linear","NB55-Blue","30.93"
"NO.12","Random Linear","NB53-Silver Gray","30.93"
"Mars Stone","4""x12""","MS03-Light Gray","30.33"
"Mars Stone","3""x6""","MS05-Dark Gray","30.18"
"NO.12","Random Linear","NB57-Tobacco","29.3"
"NO.12","2""x2""","NB52-Beige","29.06"
"NO.5","6""x48""","NB03-Gray","29.04"
"NO.12","Random Linear","NB52-Beige","27.67"
"Marble Folio","6""x12""","MA01-Statuary","27.5"
"Decorative Elements","6""x24""","DE14-Beige","27.13"
"Arcadia","4""x12""","AC04-Flamed Gray","27.11"
"Aegean","6""x12""","AE02-Light Gray","25"
"NO.12","6""x12""","NB54-Ash Gray","24.5"
"Mars Stone","Random Linear","MS02-Ivory","24.21"
"Mars Stone","4""x12""","MS01-White","22.27"
"Aegean","6""x12""","AC04-Flamed Gray","20"
"NO.5","4""x12""","NB03-Gray","19.68"
"NO.5","Random Linear","NB04-Dark Gray","19.54"
"NO.5","6""x48""","NB04-Dark Gray","19.36"
"NO.5","6""x48""","NB02-Beige","19.36"
"Mars Stone","3""x6""","MS02-Ivory","17.84"
"Carrington","4""x12""","CR02-Blue Gray","14.52"
"Fabric Folio","6""x12""","FB04-Black","14"
"Carrington","4""x12""","CR01-Ivory Blend","13.55"
"NO.9","Random Linear","NB12-Dark Gray","11.41"
"Decorative Elements","1.2""X24""","DE12-Silver","10.7"
"NO.5","Random Linear","NB03-Gray","9.78"
"NO.5","4""x12""","NB04-Dark Gray","9.69"
"Decorative Elements","1.2""X24""","DE11-Bronze","8.76"
"NO.9","Random Linear","NB13-Toffee","8.15"
"Decorative Elements","8""x8""","CR02-Blue Gray","6.88"
"NO.9","Random Linear","NB11-Gray","6.52"
"Mars Stone","1""X6""","MS06-Black","5"
"Mars Stone","4""x12""","MS06-Black","4.84"
"Decorative Elements","8""x8""","CR03-Brown Blend","4.3"
"Decorative Elements","8""x8""","CR01-Ivory Blend","3.87"
"NO.5","Random Linear","NB02-Beige","3.26"
"NO.9","6""x12""","NB11-Gray","3"
"NO.9","6""x12""","NB10-Ivory","2"
"Fabric Folio","6""x12""","FB02-Silver","2"
"NO.9","1""X6""","NB14-Black","1.56"
"NO.5","1""X6""","NB01-Ivory","1.5"
"Preeminent","1""X6""","PR01-Bianco","1.32"
"NO.5","1""X6""","NB03-Gray","1.31"
